id,category,level,has_table,has_fomula,question,A,B,C,D,E,gold
11,디지털 자산,H,N,N,데이비드 차움(David Chaum)의 초기 전자화폐 개념(eCash)에서 익명성과 이중지불 방지 모두를 달성하기 위해 사용된 핵심 암호 프로토콜은 무엇인가?,은닉 서명(Blind Signature),RSA 서명,하이브리드 암호화,해시 잠금(HLTC),Diffie-Hellman 교환,A
12,디지털 자산,H,N,N,전자화폐의 보안모델 중 변조방지 모델(Tamper-Resistant Hardware Model)이 가지는 주요 한계로 가장 적절한 것을 고르면?,복제 용이성,다중 서명 지원 불가,비대칭 암호화 불가,서버인증 불가,물리적 공격 취약성,E
13,디지털 자산,H,N,N,‘스마트카드 기반 전자화폐’의 보안 강도를 높이기 위해 국제적으로 사용되는 표준으로 가장 적절한 것을 고르면?,ISO/IEC 7816 및 EMVCo Security Specification,IEC 61508,AES-GCM,NIST PQC,SHA-256,A
14,디지털 자산,H,N,N,전자화폐 시스템의 확장성(Scalability) 제고를 위한 가장 적절한 기술은 무엇인가?,PoW 강화,Off-chain 집계 구조,AES256 확장,QR코드 확대,동기식 처리,B
15,디지털 자산,H,N,N,토큰 유통속도(Token Velocity)가 증가하는 경우 발생할 수 있는 효과에 대한 설명으로 가장 적절한 것을 고르면?,토큰 분산의 저하,가격 안정성의 강화,네트워크 보상의 확대,스테이블 코인 가치 상승,장기보유 유인 약화,E
16,디지털 자산,H,N,N,비트코인의 난이도 조정(Difficulty Adjustment)은 몇 개의 블록마다 이루어지게 되는가?,256블록,500블록,"1,024블록","2,016블록","4,096블록",D
17,채권시장,H,N,N,비트코인의 블록 보상이 0이 되는 마지막 비트코인이 채굴되는 시점은 언제로 예상되는가?,약 2032년경,약 2050년경,약 2100년경,약 2140년경,약 2200년경,D
18,재무관리,H,N,Y,"하단에서 제시하고 있는 채권의 정보를 참고하여, 시장수익률로 채권을 매매하는 경우 관행적 방식에 의한 세전 매매 단가를 구하는 식으로 가장 적절한 것을 고르면?[채권 조건]- 연 단위 복리채- 만기 상환금액: 20,000원- 시장수익률: 5%- 잔존만기: 2년 115일","\frac{20{,}000}{(1+0.05)^2 \left(1+0.05 \times \frac{115}{365}\right)}","\frac{20{,}000}{(1+0.025)^4 \left(1+0.05 \times \frac{115}{365}\right)}","\frac{20{,}000}{(1+0.5)^2}","\frac{20{,}000}{(1+0.25)^4 \left(1+0.05 \times \frac{57}{183}\right)}","\frac{20{,}000}{1+0.05 \times \frac{845}{365}}",A
19,재무관리,H,N,N,"A가 자기자본 1,250만 원과 대출자금 1,750만 원으로 금일 주당 20,000원에 ㈜○○화학 주식을 1,500주 매수하였다면, A의 투자 레버리지는 얼마인가? (단, 거래비용과 대출이자 등은 없다고 가정한다.)",1.4,2.4,3.3,4,10,B
20,재무관리,H,N,N,"㈜△△화학의 2024년 당기순이익은 250억 원, 총자본 이익률은 10%, 총자본 회전율이 4회라고 한다면, ㈜△△화학의 2024년 연 매출액은 얼마인가?","4,500억 원","5,500억 원","7,000억 원","8,500억 원",1조 원,E
21,재무관리,H,Y,N,"하단의 표는 ㈜☆☆전자의 2024년 포괄손익계산서의 일부이다. 2024년 기준 ㈜☆☆전자의 주가수익비율(PER)은 얼마인가?[재무정보]| 항목 | 금액 ||---|---|| 매출액 | 5,500억 원 || 영업비용 | 4,500억 원 || 영업이익 | 1,000억 원 || 당기순이익 | 800억 원 || 시가총액 | 3,000억 원 |",1.5,3,3.75,6.5,7,C
22,국제금융정책,H,N,N,"일본은행(BOJ)이 2010년대에 ‘수익률곡선제어(Yield Curve Control, YCC)’를 도입한 목적으로 가장 적절한 것을 고르면?",장·단기 금리차의 확대,통화량의 감축,은행의 대출 확대,국채금리 상한의 직접 관리,자산매입의 중단,D
23,국제금융정책,H,N,N,1933년 제정된 미국의 글래스-스티걸 법(Glass-Steagall Act)의 주요 내용으로 가장 적절한 것을 고르면?,중앙은행의 금 보유 규제,연준의 금리통제 완화,신용등급 반영 의무화,외환시장의 개방,상업은행과 투자은행의 분리,E
24,채권시장,H,N,N,"만기는 4년, 액면 10,000원, 연 단위 5%의 금리가 적용될 때 이 복리채의 1년째 지급금액과 만기 시 지급금액을 바르게 짝지은 것을 고르면?(단, 소수가 나오는 경우에는 소수점 첫째자리에서 반올림 한다.)","1년째 지급금액: 0원 / 만기시 지급금액: 11,576원","1년째 지급금액: 0원 / 만기시 지급금액: 12,155원","1년째 지급금액: 500원 / 만기시 지급금액: 11,025원","1년째 지급금액: 500원 / 만기시 지급금액: 11,576원","1년째 지급금액: 500원 / 만기시 지급금액: 12,155원",B
25,국제금융정책,H,N,N,유럽중앙은행(ECB)의 설립 배경으로 가장 적절한 것을 고르면?,마스트리히트 조약 체결,유럽의 재정위기,독일의 통일,스미스소니언 협정,유럽경제공동체(EEC) 해체,A
26,증권시장,H,N,N,"다음 중 유가증권 시장의 가격제한폭 제도에 대한 설명으로 적절한 것을 모두 고르면?㉠ 가격제한폭은 ETN, 수익증권에는 적용되나, DR, ETF는 적용되지 않는다.㉡ 가격제한폭은 기준 가격대비 ±30%이다.㉢ 일반적인 기준가격은 시초가를 의미한다.㉣ 가격의 급등락을 완화하기 위해 도입된 제도이다.","㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",B
27,증권시장,H,N,N,주식시장의 매매거래중단(CB)에 대한 설명으로 적절한 것을 모두 고르면?㉠ 1일 2회에 한하여 발동된다.㉡ 장종료 40분 전(14:50) 이후에는 발동하지 않는다.㉢ 증권시장의 모든 종목 및 주식관련 선물·옵션 매매 거래가 30분 간 중단된다.㉣ 거래 재개 시 최초 가격은 거래 재개 시점부터 10분 간 호가를 접수하여 단일가 매매방법에 의해 결정된다.,"㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",B
28,금리,H,N,N,현재 시중금리가 높은 수준이고 향후 금리가 서서히 하락할 것으로 예상된다. 가장 적절한 투자방안을 고르면?,만기가 긴 장기채에 투자해야 한다.,듀레이션이 짧은 채권의 비중을 늘린다.,이자지급이 많은 채권인 이표채가 유리하다.,바벨형 포트폴리오 전략을 사용해야 한다.,표면금리가 높은 채권의 비중을 늘려야 한다.,A
29,증권시장,H,N,N,다음 중 증권시장에서 거래증거금을 부과하는 종목으로 가장 적절하지 못한 것을 고르면?,상장주식,상장지수펀드(ETF),상장지수증권(ETN),환매조건부 매매(REPO),주식워런트 증권(ELW),D
30,증권시장,H,N,N,다음 중 유가증권 시장의 상장폐지 사유로 가장 적절하지 못한 것을 고르면?,2년 연속 분기·반기·사업보고서를 미제출한 경우,2년 연속 자기 자본 잠식률 50% 이상인 경우(최근년 자본잠식률 100%),2년 연속 일반주주 200인 미만인 경우,2년 연속 매출액 100억 원 미만인 경우,최종부도 또는 은행거래가 정지된 경우,D
31,채권시장,H,N,N,"다음 중 채권에 대한 설명으로 적절한 것을 모두 고르면?㉠ 채권의 유동성은 발행자의 신뢰도가 높고, 만기나 잔존기간이 짧을수록 높아진다.㉡ 도시철도공채, 지역개발공채의 발행 주체는 비금융 특별법인이다.㉢ 발행된 채권을 채권 수요자인 일반투자가에게 직접 매매하는 기관은 청약기관이다.㉣ 채권의 직접발행방식에는 매출발행과 공모입찰발행이 있다.","㉠, ㉡","㉢, ㉣","㉠, ㉢","㉠, ㉡, ㉣","㉡, ㉢, ㉣",B
32,채권시장,H,N,N,"잔존 만기가 3년, 표면이율이 8%인 연 단위 후급 이표채의 만기수익률이 10%일 때 채권가격은 9,552.78원이며 듀레이션은 2.794이다. 채권의 만기수익률이 7%로 하락하는 경우, 듀레이션을 이용하여 추정한 채권가격의 변동률로 가장 적절한 것을 고르면?",8.12% 하락,7.49% 하락,6.54% 상승,7.62% 상승,8.24% 상승,D
33,보험상품,H,N,N,"다음 중 자동차 보험에 대한 설명으로 적절한 것을 모두 고르면?㉠ 비사업용 자동차의 경우 대인배상Ⅰ, 대인배상Ⅱ, 대물배상(2천만 원 이상)을 의무적으로 가입해야 한다.㉡ 피보험자가 피보험자동차를 소유·사용·관리하는 동안 발생한 사고로 자동차가 파손·도난된 손해를 보상하는 담보를 자기차량손해(자차)라고 한다.㉢ 피해자는 가해자의 보험회사에 직접 보험금을 청구할 수 없다.㉣ 대인배상Ⅱ는 대인배상Ⅰ을 초과하는 손해를 보상하는 보험이다.","㉠, ㉢","㉠, ㉣","㉡, ㉣","㉡, ㉢","㉢, ㉣",C
34,채권시장,H,N,N,다음 중 교환사채(EB)에 대한 설명으로 적절한 것을 모두 고르면?㉠ 발행사의 주식이 아닌 발행사가 보유한 주식으로 교환한다.㉡ 주식 취득 시 신규자금이 지출되지 않는다.㉢ 특정 상황에서 채권이 자본으로 전환되거나 상각된다.㉣ 은행이 채권을 발행하면서 보유 자산을 담보로 제공하는 채권이다.,"㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",A
35,금융상품 선택기준,H,N,N,"액면금액은 모두 동일하다고 가정할 때, 만기일에 상환받는 금액이 가장 큰 채권을 고르면?","표면이율 5%, 만기 2년, 채권종류 할인채","표면이율 4%, 만기 5년, 채권종류 6개월 단위 복리채","표면이율 4%, 만기 5년, 채권종류 연 단위 복리채","표면이율 4%, 만기 5년, 채권종류 3개월 단위 복리채","표면이율 5%, 만기 5년, 채권종류 6개월 이자 후급 이표채",D
36,금융기관,H,N,N,우리나라의 금융기관의 분류상 기타 금융회사에 해당하지 않는 것을 고르면?,한국예탁결제원,한국무역보험공사,한국주택금융공사,증권금융회사,한국투자공사,A
37,금융시장 법률,H,N,N,다음 중 자본시장법의 주요 내용에 대한 설명으로 가장 적절하지 못한 것을 고르면?,투자성이 있는 모든 금융상품을 포괄한다.,6개 금융투자업무의 내부겸영을 허용하였다.,부수업무의 Positive방식을 도입하였다.,투자자책임과 금융투자회사 책임을 동시에 강화하였다.,취급금융기관을 불문하고 경제적 실익이 동일한 금융기능을 동일하게 규율한다.,C
38,재무관리,H,N,N,"배당수익모형이 성립함을 가정한다. A사의 주식에 대한 자료가 다음과 같을 때, 향후 배당은 증가하지 않을 것으로 예상되는 경우 이 주식의 가치로 적절한 것을 고르면?- 주당 배당금: 1,000원- 무위험이자율: 3%- 위험 프리미엄: 5%","6,800원","10,000원","12,500원","14,200원","15,000원",C
39,금융상품,H,N,N,"다음 중 자산유동화 증권(ABS)에 대한 설명으로 적절한 것을 모두 고른 것은?㉠ 부실자산의 조기정리를 목적으로 발행되는 증권이다.㉡ 유동화가 이루어지는 자산은 서로 상이한 특성을 가진 자산이다.㉢ 자금이체법상 분류에서 Pay-Through 방식은 주식형으로 수입과 위험이 투자자에게 모두 전가된다.㉣ 외부적 신용보강 방법으로는 지급보증, 신용공여 등이 있다.","㉠, ㉡","㉠, ㉣","㉡, ㉢","㉢, ㉣","㉠, ㉡, ㉢",B
40,증권시장,H,Y,N,"향후 경제상황에 따른 확률과 각 주식에 대한 기대수익률이 다음과 같다고 한다. 어떤 투자가가 A주식과 B주식을 각각 80%, 20%씩 투자하였을 때 이 투자가의 기대수익률로 가장 적절한 것을 고르면?| 경제상황 | 확률 | A주식 기대수익률 | B주식 기대수익률 ||---|---|---|---|| 호황 | 60% | 40% | 20% || 불황 | 40% | -20% | 5% |",12.40%,13.50%,14.20%,15.60%,16.80%,D
41,채권시장,H,N,N,채권의 투자전략 중 적극적 투자전략으로 적절하지 못한 것을 고르면?,수익률 예측전략,수익률 곡선타기전략,나비형 투자전략,채권 교체전략,사다리형 만기 운용전략,E
42,금융상품,H,N,Y,"기준이는 다음의 조건을 가진 예금상품을 금일 가입하였다. 기준이가 만기 시 받게 되는 원리금 합계를 올바르게 계산한 것은?- 금융상품: 예금- 연이율: 5%- 원금: 500,000원- 만기: 6년 2회- 이자 지급: 복리 적용","(500{,}000 \times (1+0.05)^{6})","(500{,}000 \times (1+0.05)^{12})","(500{,}000 \times (1+0.05)^{6.5})","(500{,}000 \times (1+0.05)^{7})","(500{,}000 \times (1+0.05)^{6.25})",C
43,금융상품 선택기준,H,Y,Y,"위험회피를 적용한 효용함수가 다음과 같이 정의된다고 할 때, 가장 유리한 투자 대상은 무엇인가?효용함수:[ U = E(r) - \frac{1}{2}\sigma^2 ]| 구분 | 기대수익률 | 표준편차 ||---|---|---|| A주식 | 0.12 | 0.8 || B주식 | 0.13 | 0.2 || C회사채 | 0.08 | 0.1 || D회사채 | 0.07 | 0.08 || E국공채 | 0.06 | - |",A주식,B주식,C회사채,D회사채,E국공채,B
44,채권시장,H,N,Y,"다음의 조건을 가진 이표채를 발행일 당일에 유통수익률 6%로 매매하려고 한다. 일반적인 방식으로 세전 단가를 구하는 식으로 가장 적절한 것은?- 발행일: 2022년 10월 31일- 만기일: 2025년 10월 31일- 이자 지급 단위 기간: 매 3개월 후급- 표면이자율: 연 2.5%- 액면가: 10,000원","(\sum_{t=1}^{12} \frac{10{,}000 \times 0.025/4}{(1+0.06/4)^t} + \frac{10{,}000}{(1+0.06/4)^{12}})","(\sum_{t=1}^{10} \frac{10{,}000 \times 0.025}{(1+0.06)^t})","(\sum_{t=1}^{12} \frac{10{,}000 \times 0.025}{(1+0.06/4)^t})","(\sum_{t=1}^{12} \frac{10{,}000 \times 0.025/2}{(1+0.06/2)^t} + \frac{10{,}000}{(1+0.06/2)^{12}})","(\sum_{t=1}^{4} \frac{10{,}000 \times 0.025}{(1+0.06)^t} + \frac{10{,}000}{(1+0.06)^4})",E
45,유통시장,H,N,N,"신용평가에 대한 설명으로 적절한 것을 모두 고르면?㉠ 현금흐름에 영향을 주는 모든 요소들을 고려하여 정확하게 예측해야 한다.㉡ 발행자에게 채권의 매입, 보유, 처분 등의 정보를 제공한다.㉢ 무보증회사채, 기업어음, 자산유동화증권, 신용공여 제공 등을 대상으로 한다.㉣ 평가요소는 경영관리위험, 계열위험, 산업위험, 재무위험 등이다.","㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",D
46,채권시장,H,N,N,"잔존만기가 (3)년 남은 할인채를 만기수익률 (4%)에 매입하여 (2)년이 경과한 시점에서 만기수익률 (6%)에 매도하였다. 액면 (10{,}000)원 단위로 산정한 손실 또는 수익 금액은 얼마인가? (단, 소수 첫째자리에서 반올림한다.)매입가격: ( \frac{10{,}000}{(1+0.04)^3} )매도가격: ( \frac{10{,}000}{(1+0.06)^1} )",(-412)원,(-504)원,(504)원,(544)원,(604)원,D
47,선물옵션,H,N,N,다음과 같은 상황에서 주가지수 선물의 이론가격과 시장상황을 올바르게 짝지은 것을 고르면?- 현물가격: (100)pt- 이자율: (6%)- 배당률: (9%)- 잔존만기: (4)개월,"이론가격 (99.0)pt, 시장상황 콘탱고","이론가격 (99.5)pt, 시장상황 콘탱고","이론가격 (98.5)pt, 시장상황 백워데이션","이론가격 (99.0)pt, 시장상황 백워데이션","이론가격 (100.0)pt, 시장상황 백워데이션",D
48,금융상품,H,N,N,"주택청약종합저축에 대한 설명으로 적절한 것을 모두 고르면?㉠ 매월 (20{,}000)원 이상 (2{,}000{,}000)원 이하의 금액을 자유롭게 이체할 수 있다.㉡ 입주자모집공고일 현재 기준 가입 후 (2)년이 경과한 경우 투기과열지구·청약과열지역에서 1순위가 될 수 있다.㉢ 예금자보호법이 적용되는 상품이다.㉣ 국민인 개인(미성년자, 국내거주 재외동포 포함) 또는 외국인 거주자가 가입할 수 있다.","㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",B
49,금융의 기초개념,H,N,N,다음 중 체계적 위험에 대한 설명으로 가장 적절하지 못한 것을 고르면?,개별 주식 수익률의 총변동 중에서 증권특성선으로부터의 편차 크기로 측정되는 수익률의 변동분이다.,개별 주식의 위험 중에서 시장 전체와 연동된 위험의 크기를 나타낸 것이다.,시장 전체의 공통요인이다.,"인플레이션 위험, 금리변화 등이 여기에 속한다.","분산불능 위험, 시장 위험이다.",A
50,증권시장,H,N,N,자본시장법상 증권의 유형 중 파생결합증권에 해당하지 않는 것을 고르면?,주가연계증권(ELS),파생결합증권(DLS),주식워런트증권(ELW),신용연계채권(CLN),미국 주식예탁증서(ADR),E
51,금융기관,H,N,N,"금융위원회의 적기시정조치 중 경영개선 권고 사유에 해당하는 것을 모두 고르면?㉠ 순자본비율 (100%) 미만인 경우㉡ 경영실태조사 평가등급 (3)등급 이상이면서 자본적정성 부문이 (4)등급 이하인 경우㉢ (2)년 연속 적자이면서 레버리지비율 (600%) 초과인 경우㉣ 레버리지비율 (1{,}100%) 초과인 경우","㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",C
52,증권시장,H,N,N,다음 중 절대적 전문투자자에 해당하지 않는 자를 고르면?,한국은행,예금보험공사,금융투자협회,한국거래소,공제사업법인,E
53,채권시장,H,N,N,"전환사채의 전환대상 주가가 29,400원이고, 패리티가 140이라면, 이 전환사채의 액면 전환가격은 얼마인가?","19,500원","20,800원","21,000원","24,600원","27,650원",C
54,세법,H,N,N,"아버지의 갑작스러운 사망으로 인해 1,500만 원의 장례비용이 소요되었으나, 이에 대한 지출이 확인되는 서류를 가지고 있지 않다. 봉안시설에 아버지를 모시면서 800만 원의 비용이 추가로 들었을 때 공제되는 총 장례비용은 얼마인가?",0원,800만 원,"1,000만 원","1,500만 원","2,300만 원",C
55,세법,H,N,N,"근로자 A씨의 근로소득에 대한 종합소득산출세액이 120만 원이라면, 근로소득세액공제액은 얼마인가?",48만 원,54만 원,66만 원,80만 원,120만 원,C
56,세법,H,N,N,"다음에 제시된 정보를 사용하여 A씨의 202×년 귀속소득 연말정산 시 김○○씨의 세액공제액은 얼마인가?● 거주자 A씨의 202×년 종합소득 : 4,800만 원● 202×년 신용카드 사용액 : 500만 원● 202×년 현금사용액 : 250만 원● 202×년 IRP납입액 : 200만 원● 202×년 연급저축 납입액 : 300만 원",49만 5천 원,66만 6천 원,82만 5천 원,135만 3천 원,169만 1천 원,C
57,세법,H,N,N,"피상속인이 미성년자 손녀에게 재산을 상속하는 경우 상속가액이 30억 원이라고 한다면, 세대생략 할증과세 할증률로 적절한 것을 고르면? (단, 손녀의 아버지는 현재 살아있다고 가정한다.)",20%,30%,35%,40%,50%,D
58,재무관리,H,N,N,"항상성장모형이 성립함을 가정하자. ㈜○○상사의 주당이익은 1,000원이고, 이 기업은 이익의 50%를 배당으로 지급할 예정이다. 이 기업의 이익과 배당금은 매년 5%씩 증가하고 있고 해당 기업의 요구수익률이 12%라고 한다면, ㈜○○상사 주식의 적정가치는 얼마인가?","3,000원","5,000원","7,500원","9,000원","10,000원",C
59,재무관리,H,N,N,"다음 주어진 자료를 사용하여, 경제적부가가치(EVA)와 기업가치를 바르게 짝지은 것을 고르면?● 세후 영업이익 : 10억 원● 자기자본비용 : 10%● 타인자본비용 : 6%● 자기자본 : 50억 원● 타인자본 : 50억 원","경제적부가가치(EVA) 2억 원, 기업가치 125억 원","경제적부가가치(EVA) 2억 원, 기업가치 150억 원","경제적부가가치(EVA) 8억 원, 기업가치 125억 원","경제적부가가치(EVA) 8억 원, 기업가치 150억 원","경제적부가가치(EVA) 8억 원, 기업가치 175억 원",A
60,재무관리,H,N,N,"A 기업의 이자보상비율은 10이고 내년도 영업이익은 1억 원으로 기대되며, 1억 원의 부채에 대한 조달비용은 5%라고 한다면, 이전과 동일한 수준으로 차입하는 경우에 차입이 가능한 최대 금액은 얼마인가?","5,000만 원",1억 원,1억 2천만 원,1억 5천만 원,2억 원,B
61,채권시장,H,N,N,"㈜△△전자는 연 2.5%의 만기가 없는 무보증 사채를 발행하였다. 액면가는 10,000원이고 해당 채권의 현재 가치가 8,500원이라면, 만기 수익률은 얼마인가? (단, 소수가 나오는 경우 소수 셋째자리에서 반올림한다.)",1.89%,2.25%,2.85%,2.94%,3.12%,D
62,부동산시장,H,N,N,부동산 등기의 효력으로 가장 적절하지 못한 것을 고르면?,순위확정적 효력,대항적 효력,권리존재 추정력,점유적 효력,공신적 효력,E
63,부동산시장,H,N,N,다음에서 설명하고 있는 부동산의 개발방식과 가장 적절한 것을 고르면?● 지주가 토지의 일부 또는 전부를 개발하고 개발자는 토지를 개발하여 건축물을 건설한 후 양자가 토지와 건축물을 공유 또는 구분 소유● 개발업자의 건축자금 부담을 완화하는 효과가 있음● 토지소유자는 부동산 개발에 대한 노하우를 가지지 않더라도 가능한 방식,등가교환방식,합동개발방식,사업수탁방식,토지신탁방식,차지개발방식,A
64,금융상품,H,N,N,"다음 중 주식워런트증권(ELW)에 대한 설명으로 적절한 것을 모두 고르면?㉠ 주식워런트증권의 가격은 행사가치에서 시간가치를 차감하여 계산한다.㉡ 기초자산의 가격변동성의 증가는 콜 워런트와 풋 워런트의 가치를 모두 증가시킨다.㉢ 의결권, 배당 청구권과 같은 주주로서의 권리행사를 하지 못한다.㉣ 선물이나 옵션과 같이 헤지기능으로 사용이 가능하다.","㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",E
65,세법,H,N,N,다음 중 각 세목별 납세의무의 성립시기로 가장 적절하지 못한 것을 고르면?,상속세 : 상속이 개시된 때,증여세 : 증여로 인해 재산을 취득하는 때,인지세 : 과세문서 인지를 첩부할 때,종합부동산세 : 과세기준일,증권거래세 : 매매가 확정되는 때,C
66,세법,H,N,N,비상장 주식을 보유하고 있는 A씨는 당해 주식을 타인에게 2025년 5월 29일에 양도하였다고 한다. A씨에게 적용되는 증권거래세 세율과 신고·납부기한을 올바르게 짝지은 것을 고르면?,"세율 0.35%, 신고·납부기한 8월 31일","세율 0.35%, 신고·납부기한 6월 30일","세율 0.05%, 신고·납부기한 7월 31일","세율 0.05%, 신고·납부기한 12월 31일","세율 0.02%, 신고·납부기한 10월 31일",A
67,금융상품,H,N,N,"다음 중 주가지수 연계증권(ELS)에 대한 설명으로 적절한 것을 모두 고르면?㉠ ELS의 발행방식은 공모보다 사모의 비중이 더 높다.㉡ 만기시점의 주가수준에 비례하여 손익을 얻되 최대 수익 및 손실이 제한되는 구조를 Knock-out형 이라고 한다.㉢Step-in형은 기초가격이 대폭 하락하여 Knock-in이 발생하지 않는 상황에서 3∼6개월 마다 주가가 일정수준 이상인 경우 약정 수익률로 조기 상환된다.㉣ 투자자의 요쳥에 의해 중도상환이 가능하나, 투자자는 중도상환 수수료를 부담해야 한다.","㉠, ㉡","㉡, ㉣","㉢, ㉣","㉠, ㉡, ㉣","㉡, ㉢, ㉣",C
68,금융상품,H,N,N,"다음 중 개인종합저축계좌(ISA) 대한 설명으로 적절한 것을 모두 고르면?㉠ 서민형은 총급여 5,000만 원 또는 종합소득 3,500만 원 이하의 거주자는 가입이 가능하다.㉡ 의무가입 기간은 3년이다.㉢ 일반형, 서민형, 농민형의 비과세 한도는 400만 원으로 동일하다.㉣ 비과세 초과분에 대해서는 세율 9.9%의 분리과세를 적용한다.","㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",C
69,금융상품,H,N,N,"다음 중 소득공제장기펀드에 대한 설명으로 적절한 것을 모두 고르면?㉠ 납입액의 40%(연 240만 원 한도) 소득공제가 적용된다.㉡ 총급여 5,500만 원 이하의 근로자는 가입이 가능하다.㉢ 연간 납입한도는 최대 600만 원이다.㉣ 가입 기간은 최소 5년이다.","㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",D
70,금융상품,H,N,N,다음 금융상품 중 절세유형이 소득공제인 것을 고르면?,조합출자금,연금저축,저축성보험,농어가목돈마련저축,주택청약종합저축,E
71,금융기관,H,N,N,주식 등의 보유상황 보고제도(5% Rule)에 대한 설명으로 가장 적절하지 못한 것을 고르면?,시장 투명성을 제고하기 위해 도입되었다.,보유주식수가 변동이 없는 경우 보고의무는 면제된다.,보고 사유 발생일로부터 5일 이내에 보고해야 한다.,"주식 취득의 목적을 단순한 투자, 경영참가 목적 등으로 구분해서 공시해야 한다.",5% 이상 보유자의 보유비율이 0.1%이상 변동하는 경우 보고를 해야 한다.,E
72,금융상품,H,N,N,주택연금에 대한 설명으로 적절한 것을 모두 고르면?㉠ 부부 중 1명이 60세 이상이고 부부 합산 공시가격 15억 이하 주택을 소유한 경우 가입이 가능하다.㉡ 주택연금 담보제공 방식은 저당권 방식과 신탁방식으로 나뉜다.㉢ 상환시점에 대출잔액이 주택잔액을 초과하는 경우 부족한 돈을 상속인에게 청구하지 않는다.㉣ 대출금리는 고정금리를 적용받는다.,"㉠, ㉡","㉡, ㉢","㉢, ㉣","㉠, ㉡, ㉣","㉡, ㉢, ㉣",B
